cpi_id,category,governorate,cpi_value,base_year,period_year,period_month,source_agency
1,Food & Beverages,National,215.0,2020,2022,1,CAPMAS
2,Food & Beverages,Cairo,217.04,2020,2022,1,CAPMAS
3,Food & Beverages,Alexandria,216.2,2020,2022,1,CAPMAS
4,Food & Beverages,Giza,223.68,2020,2022,1,CAPMAS
5,Food & Beverages,Dakahlia,219.68,2020,2022,1,CAPMAS
6,Food & Beverages,Gharbiya,222.35,2020,2022,1,CAPMAS
7,Food & Beverages,National,218.87,2020,2022,2,CAPMAS
8,Food & Beverages,Cairo,211.23,2020,2022,2,CAPMAS
9,Food & Beverages,Alexandria,225.36,2020,2022,2,CAPMAS
10,Food & Beverages,Giza,214.02,2020,2022,2,CAPMAS
11,Food & Beverages,Dakahlia,212.26,2020,2022,2,CAPMAS
12,Food & Beverages,Gharbiya,229.65,2020,2022,2,CAPMAS
13,Food & Beverages,National,222.81,2020,2022,3,CAPMAS
14,Food & Beverages,Cairo,221.39,2020,2022,3,CAPMAS
15,Food & Beverages,Alexandria,229.42,2020,2022,3,CAPMAS
16,Food & Beverages,Giza,221.92,2020,2022,3,CAPMAS
17,Food & Beverages,Dakahlia,231.68,2020,2022,3,CAPMAS
18,Food & Beverages,Gharbiya,214.82,2020,2022,3,CAPMAS
19,Food & Beverages,National,226.82,2020,2022,4,CAPMAS
20,Food & Beverages,Cairo,226.88,2020,2022,4,CAPMAS
21,Food & Beverages,Alexandria,230.55,2020,2022,4,CAPMAS
22,Food & Beverages,Giza,231.6,2020,2022,4,CAPMAS
23,Food & Beverages,Dakahlia,225.99,2020,2022,4,CAPMAS
24,Food & Beverages,Gharbiya,236.28,2020,2022,4,CAPMAS
25,Food & Beverages,National,230.9,2020,2022,5,CAPMAS
26,Food & Beverages,Cairo,239.63,2020,2022,5,CAPMAS
27,Food & Beverages,Alexandria,238.57,2020,2022,5,CAPMAS
28,Food & Beverages,Giza,223.6,2020,2022,5,CAPMAS
29,Food & Beverages,Dakahlia,235.57,2020,2022,5,CAPMAS
30,Food & Beverages,Gharbiya,226.92,2020,2022,5,CAPMAS
31,Food & Beverages,National,235.06,2020,2022,6,CAPMAS
32,Food & Beverages,Cairo,239.18,2020,2022,6,CAPMAS
33,Food & Beverages,Alexandria,233.22,2020,2022,6,CAPMAS
34,Food & Beverages,Giza,245.77,2020,2022,6,CAPMAS
35,Food & Beverages,Dakahlia,234.27,2020,2022,6,CAPMAS
36,Food & Beverages,Gharbiya,229.38,2020,2022,6,CAPMAS
37,Food & Beverages,National,239.29,2020,2022,7,CAPMAS
38,Food & Beverages,Cairo,250.8,2020,2022,7,CAPMAS
